price,postal_code,longitude,latitude,region,province,municipality,crime_rate,population_km,prosperity_index,type_of_property,subtype_of_property,state_of_the_building,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,number_of_facades,swimming_pool,crimes,ext_area
325000,9230,51.00236028375542,3.8707194000984635,région flamande,flandre orientale (la),wetteren,18.879821958456976,728.29406785572,106.0,apartment,apartment,good,2,99.0,0,0.0,0,2.0,0.0,509.0,33.0
449500,2040,51.34298198470965,4.298111097530031,région flamande,antwerpen,antwerpen,38.33988974941212,2666.2549387733,87.0,house,house,good,4,178.0,0,0.0,0,2.0,0.0,20886.0,1220.0
249000,2100,51.215898155997046,4.46823712928013,région flamande,antwerpen,antwerpen,38.33988974941212,2666.2549387733,87.0,house,house,good,2,143.0,0,0.0,0,2.0,0.0,20886.0,12.0
982700,1410,50.70976366812478,4.403520554166193,région wallonne,brabant wallon (le),waterloo,29.056085762844816,1434.78744291812,127.0,apartment,ground_floor,excellent,2,169.0,1,0.0,0,2.0,0.0,889.0,164.0
945000,2370,51.33462182308609,5.085447550635012,région flamande,antwerpen,arendonk,10.902845194533642,242.80167641403,99.0,house,villa,excellent,6,434.0,0,0.0,0,4.0,0.0,146.0,0.0
269000,1800,50.93012891009888,4.428578360497885,région flamande,brabant flamand (le),vilvoorde,22.742122457582465,2199.23242639698,92.0,apartment,apartment,good,1,71.0,0,0.0,0,2.0,0.0,1079.0,9.0
560000,1970,50.84309057749016,4.492424812620597,région flamande,brabant flamand (le),wezembeek-oppem,19.2646859313526,2147.74667253696,123.0,house,house,renovation,3,140.0,0,0.0,0,3.0,0.0,284.0,300.0
329000,5590,50.25624897081881,5.122824767561598,région wallonne,namur,ciney,13.792702089274282,116.203560234169,96.0,house,house,good,2,192.0,0,0.0,1,4.0,0.0,237.0,1575.0
269000,1140,50.87001921742844,4.408236007087518,région de bruxelles-capitale,région de bruxelles-capitale,evere,28.09833311226069,8826.439120907431,73.0,apartment,apartment,good,2,103.0,0,0.0,0,2.0,0.0,1271.0,15.0
1195000,8300,51.346651571344495,3.331958012765075,région flamande,flandre occidentale (la),knokke-heist,24.697053576920712,527.878757188906,150.0,apartment,apartment,good,3,105.0,0,1.0,0,2.0,0.0,803.0,0.0
499000,8300,51.346651571344495,3.331958012765075,région flamande,flandre occidentale (la),knokke-heist,24.697053576920712,527.878757188906,150.0,apartment,apartment,excellent,2,67.0,1,0.0,0,2.0,0.0,803.0,0.0
525000,8300,51.346651571344495,3.331958012765075,région flamande,flandre occidentale (la),knokke-heist,24.697053576920712,527.878757188906,150.0,apartment,apartment,good,2,100.0,0,0.0,0,2.0,0.0,803.0,0.0
1175000,8300,51.346651571344495,3.331958012765075,région flamande,flandre occidentale (la),knokke-heist,24.697053576920712,527.878757188906,150.0,apartment,apartment,excellent,3,89.0,0,0.0,0,2.0,0.0,803.0,0.0
345000,9961,51.25601063121515,3.71047142445394,région flamande,flandre orientale (la),assenede,9.62457337883959,167.431347918695,111.0,house,house,good,3,145.0,0,0.0,0,4.0,0.0,141.0,856.0
189000,6750,49.56614956268711,5.700188781552907,région wallonne,luxembourg,musson,13.710368466152529,131.972116904,101.0,house,house,renovation,3,124.0,0,0.0,0,3.0,0.0,64.0,0.0
485000,1933,50.85654613816079,4.510708348249879,région flamande,brabant flamand (le),zaventem,20.776529610644566,1322.81262800591,102.0,house,house,good,4,192.0,0,0.0,1,2.0,0.0,762.0,18.0
195000,1083,50.87440457885052,4.309447398997361,région de bruxelles-capitale,région de bruxelles-capitale,ganshoren,23.979033015177592,10487.0677684296,79.0,apartment,apartment,renovation,2,65.0,0,0.0,0,2.0,0.0,613.0,6.0
465000,8310,51.21677335757064,3.2724169340982785,région flamande,flandre occidentale (la),brugge,29.52389692080521,850.208400321997,110.0,house,house,excellent,3,180.0,0,0.0,0,2.0,0.0,3539.0,112.0
235000,8920,50.908899940491104,2.9247896783271297,région flamande,flandre occidentale (la),langemark-poelkapelle,7.407407407407407,152.63572212949398,100.0,house,house,good,3,131.0,0,0.0,0,3.0,0.0,60.0,0.0
