Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
235000.0,4101,APARTMENT,APARTMENT,,2.0,85.0,False,,,,,,,,,,,,
340000.0,9900,HOUSE,HOUSE,TO_RENOVATE,4.0,201.0,False,0.0,,,,,,,1370.0,,,,
790000.0,2018,HOUSE,HOUSE,JUST_RENOVATED,4.0,217.0,False,,,1.0,,,,,0.0,,,,
,8300,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,
790000.0,1030,HOUSE,HOUSE,,5.0,306.0,False,0.0,,1.0,16.0,1.0,50.0,50.0,140.0,2.0,0.0,0.0,0.0
,1000,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,
375000.0,1932,APARTMENT,DUPLEX,,2.0,113.0,False,,,1.0,17.0,,,,,2.0,,,
239000.0,4130,HOUSE,EXCEPTIONAL_PROPERTY,TO_RENOVATE,4.0,,False,,,1.0,,,,,540.0,2.0,,,
545000.0,2000,APARTMENT,APARTMENT,GOOD,2.0,185.0,False,,,1.0,4.0,,,,,,,,1.0
785000.0,8750,HOUSE,VILLA,AS_NEW,4.0,200.0,False,,,1.0,,,,,885.0,4.0,,0.0,0.0
319000.0,3970,HOUSE,HOUSE,,4.0,166.0,False,,,,,,,,609.0,3.0,,,
565000.0,1420,HOUSE,APARTMENT_BLOCK,GOOD,5.0,320.0,True,0.0,,1.0,30.0,,,,185.0,2.0,0.0,0.0,0.0
548000.0,9100,HOUSE,HOUSE,,6.0,549.0,True,0.0,,1.0,81.0,,,,190.0,2.0,0.0,0.0,0.0
322500.0,9900,APARTMENT,APARTMENT,,3.0,132.0,False,,,1.0,,,,,,2.0,,,
385000.0,6997,HOUSE,HOUSE,TO_RENOVATE,3.0,180.0,False,,1.0,,,,,,1750.0,4.0,,,
210000.0,6790,APARTMENT,APARTMENT,GOOD,3.0,120.0,False,,,,,,,,,,0.0,0.0,0.0
1345000.0,2970,HOUSE,HOUSE,AS_NEW,3.0,427.0,False,,,1.0,,,,,2707.0,4.0,,,
207000.0,9100,APARTMENT,APARTMENT,GOOD,2.0,,False,,,1.0,,,,,,,,,1.0
669000.0,9680,HOUSE,HOUSE,GOOD,6.0,333.0,False,0.0,,1.0,,,,,476.0,3.0,1.0,0.0,
490000.0,8300,APARTMENT,APARTMENT,AS_NEW,2.0,87.0,False,,,,,,,,,,,0.0,1.0
298000.0,9800,APARTMENT,APARTMENT,GOOD,1.0,88.0,False,0.0,,1.0,10.0,,,,,,,,1.0
